date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-06,1717,長興,20260105,46.10,33489.271,49.60,7.5922,30-50
2026-01-06,2337,旺宏,20260105,47.65,35505.893,49.40,3.6726,30-50
2026-01-06,2409,友達,20260105,13.85,264402.662,14.50,4.6931,<30
2026-01-06,2543,皇昌,20260105,66.50,8947.972,68.20,2.5564,50-70
2026-01-06,3312,弘憶股,20260105,42.10,11102.756,41.80,-0.7126,30-50
2026-01-06,3481,群創,20260105,19.90,536713.013,20.50,3.0151,<30
2026-01-06,4130,健亞,20260105,30.40,5468,30.50,0.3289,30-50
2026-01-06,5351,鈺創,20260105,61.30,46519,62.00,1.1419,50-70
2026-01-06,6116,彩晶,20260105,8.78,45295.326,9.52,8.4282,<30
2026-01-06,6155,鈞寶,20260105,53.20,6188.249,51.00,-4.1353,50-70
2026-01-06,8105,凌巨,20260105,12.45,5406.053,13.00,4.4177,<30
2026-01-06,8110,華東,20260105,68.50,85978.993,69.30,1.1679,50-70
2026-01-07,1717,長興,20260106,50.70,83779.541,51.20,0.9862,50-70
2026-01-07,2337,旺宏,20260106,52.40,377247.63,57.00,8.7786,50-70
2026-01-07,2342,茂矽,20260106,32.90,7905.499,36.15,9.8784,30-50
2026-01-07,2349,錸德,20260106,14.70,19672.037,15.00,2.0408,<30
2026-01-07,2409,友達,20260106,15.20,322393.571,16.40,7.8947,<30
2026-01-07,2489,瑞軒,20260106,17.30,28594.503,17.60,1.7341,<30
2026-01-07,3481,群創,20260106,21.85,1042548.581,22.55,3.2037,<30
2026-01-07,4927,泰鼎-KY,20260106,35.55,55963.205,36.70,3.2349,30-50
2026-01-07,6116,彩晶,20260106,9.65,41239.683,10.60,9.8446,<30
2026-01-07,6120,達運,20260106,13.50,15012.376,13.55,0.3704,<30
2026-01-07,6770,力積電,20260106,47.75,447327.296,50.00,4.7120,50-70
2026-01-07,8105,凌巨,20260106,13.65,12804.816,14.20,4.0293,<30
2026-01-08,1303,南亞,20260107,64.70,206471.229,66.20,2.3184,50-70
2026-01-08,1605,華新,20260107,39.65,264591.244,39.80,0.3783,30-50
2026-01-08,1717,長興,20260107,55.70,127396.434,55.70,0.0000,50-70
2026-01-08,2303,聯電,20260107,54.10,232693.576,57.00,5.3604,50-70
2026-01-08,2337,旺宏,20260107,57.60,465772.691,57.30,-0.5208,50-70
2026-01-08,2342,茂矽,20260107,36.15,16586.167,35.00,-3.1812,30-50
2026-01-08,2349,錸德,20260107,16.15,23887.955,16.85,4.3344,<30
2026-01-08,2367,燿華,20260107,31.65,102198.332,32.00,1.1058,30-50
2026-01-08,2369,菱生,20260107,26.65,32173.378,27.70,3.9400,<30
2026-01-08,2409,友達,20260107,16.70,852102.789,16.95,1.4970,<30
2026-01-08,2495,普安,20260107,33.30,24501.039,33.60,0.9009,30-50
2026-01-08,3049,精金,20260107,7.19,10526.934,7.48,4.0334,<30
2026-01-08,3060,銘異,20260107,36.35,16229.715,38.00,4.5392,30-50
2026-01-08,3576,聯合再生,20260107,9.32,24008.305,9.82,5.3648,<30
2026-01-08,4973,廣穎,20260107,44.10,12482,44.90,1.8141,30-50
2026-01-08,5521,工信,20260107,23.90,10026.57,25.60,7.1130,<30
2026-01-08,6116,彩晶,20260107,10.60,35250.609,11.25,6.1321,<30
2026-01-08,6244,茂迪,20260107,22.10,12855,22.75,2.9412,<30
2026-01-08,6443,元晶,20260107,28.40,80654.537,29.80,4.9296,<30
2026-01-08,8105,凌巨,20260107,15.00,28057.364,15.60,4.0000,<30
2026-01-08,8215,明基材,20260107,22.20,10972.629,22.00,-0.9009,<30
2026-01-08,8422,可寧衛*,20260107,34.90,162827.918,36.20,3.7249,30-50
2026-01-09,1714,和桐,20260108,8.97,18741.577,9.28,3.4560,<30
2026-01-09,2337,旺宏,20260108,63.30,528977.458,63.30,0.0000,50-70
2026-01-09,4973,廣穎,20260108,48.50,12434,51.30,5.7732,50-70
2026-01-09,6015,宏遠證,20260108,12.35,14044,12.85,4.0486,<30
2026-01-09,6016,康和證,20260108,15.15,31359,15.85,4.6205,<30
2026-01-09,6116,彩晶,20260108,11.65,282348.036,11.65,0.0000,<30
2026-01-09,6443,元晶,20260108,31.20,71328.411,32.30,3.5256,30-50
2026-01-09,6603,富強鑫,20260108,30.45,12148,31.95,4.9261,30-50
2026-01-09,8074,鉅橡,20260108,51.20,9116,52.00,1.5625,50-70
2026-01-09,8088,品安,20260108,54.10,25570,55.80,3.1423,50-70
2026-01-12,1810,和成,20260109,20.35,8308.828,20.00,-1.7199,<30
2026-01-12,3543,州巧,20260109,46.75,7695.221,47.15,0.8556,30-50
2026-01-12,4541,晟田,20260109,45.65,5980,46.20,1.2048,30-50
2026-01-12,4743,合一,20260109,69.30,12687,70.00,1.0101,70-100
2026-01-12,5521,工信,20260109,24.25,26754.805,24.25,0.0000,<30
2026-01-12,6163,華電網,20260109,59.70,19141,62.70,5.0251,50-70
2026-01-12,6603,富強鑫,20260109,33.45,19689,33.80,1.0463,30-50
2026-01-12,8042,金山電,20260109,63.80,14623,64.50,1.0972,50-70
2026-01-12,8043,蜜望實,20260109,87.40,19157,90.50,3.5469,70-100
2026-01-12,8074,鉅橡,20260109,56.30,36926,57.00,1.2433,50-70
2026-01-12,8150,南茂,20260109,58.30,77206.852,62.00,6.3465,50-70
2026-01-12,8422,可寧衛*,20260109,39.05,265412.712,42.85,9.7311,30-50
2026-01-13,2312,金寶,20260112,25.05,124090.953,26.10,4.1916,<30
2026-01-13,2367,燿華,20260112,33.65,118461.767,35.05,4.1605,30-50
2026-01-13,2406,國碩,20260112,28.05,18465.894,29.80,6.2389,<30
2026-01-13,2419,仲琦,20260112,28.15,7266.331,29.30,4.0853,<30
2026-01-13,2485,兆赫,20260112,27.50,13048.2,30.00,9.0909,30-50
2026-01-13,3481,群創,20260112,22.00,123914.785,22.25,1.1364,<30
2026-01-13,4130,健亞,20260112,36.55,7329,36.90,0.9576,30-50
2026-01-13,4909,新復興,20260112,62.20,10557,63.90,2.7331,50-70
2026-01-13,5302,太欣,20260112,12.40,5615,13.30,7.2581,<30
2026-01-13,6163,華電網,20260112,65.60,23918,68.10,3.8110,50-70
2026-01-13,6443,元晶,20260112,34.80,61726.695,38.00,9.1954,30-50
2026-01-13,8064,東捷,20260112,50.80,9177,54.40,7.0866,50-70
2026-01-13,8422,可寧衛*,20260112,42.95,59797.614,47.20,9.8952,30-50
2026-01-13,9955,佳龍,20260112,33.55,5171.602,35.25,5.0671,30-50
2026-01-14,1717,長興,20260113,59.50,108250.935,62.90,5.7143,50-70
2026-01-14,2305,全友,20260113,13.60,9635.4,13.90,2.2059,<30
2026-01-14,2312,金寶,20260113,27.55,213224.886,29.70,7.8040,<30
2026-01-14,2331,精英,20260113,26.20,33188.518,27.90,6.4885,<30
2026-01-14,2371,大同,20260113,35.65,70391.76,39.00,9.3969,30-50
2026-01-14,2406,國碩,20260113,30.85,75185.818,32.10,4.0519,30-50
2026-01-14,2478,大毅,20260113,71.50,10206.002,75.00,4.8951,70-100
2026-01-14,2485,兆赫,20260113,30.25,75018.627,32.35,6.9421,30-50
2026-01-14,5425,台半,20260113,65.80,38424,67.90,3.1915,50-70
2026-01-14,6265,方土昶,20260113,41.70,6890,41.50,-0.4796,30-50
2026-01-14,6806,森崴能源,20260113,44.05,7185.345,45.35,2.9512,30-50
2026-01-14,8064,東捷,20260113,55.80,16453,57.40,2.8674,50-70
2026-01-14,8422,可寧衛*,20260113,47.20,23172.879,51.90,9.9576,50-70
2026-01-14,9955,佳龍,20260113,36.90,12063.871,38.50,4.3360,30-50
2026-01-15,1504,東元,20260114,90.50,60752.852,92.00,1.6575,70-100
2026-01-15,1711,永光,20260114,24.30,22048.102,25.00,2.8807,<30
2026-01-15,2305,全友,20260114,14.95,12227.983,15.30,2.3411,<30
2026-01-15,2312,金寶,20260114,30.30,63980.386,31.95,5.4455,30-50
2026-01-15,2331,精英,20260114,28.80,24526.518,29.80,3.4722,<30
2026-01-15,2332,友訊,20260114,17.05,17451.365,17.45,2.3460,<30
2026-01-15,2349,錸德,20260114,16.30,37081.496,16.70,2.4540,<30
2026-01-15,2419,仲琦,20260114,32.75,17417.519,32.75,0.0000,30-50
2026-01-15,2485,兆赫,20260114,33.25,19042.554,35.90,7.9699,30-50
2026-01-15,3050,鈺德,20260114,15.30,7616.448,15.15,-0.9804,<30
2026-01-15,3236,千如,20260114,35.90,13204,36.70,2.2284,30-50
