date,code,name,prev_close,prev_volume_lots,open,open_gap_pct,entry_price,entry_time,tp_price,sl_price,result,event_time
2026-08-20,5314,世紀*,21.50,11013,23.65,10.0000,21.90,,22.3380,21.2430,NO_ENTRY,
2026-08-20,5608,四維航,17.50,36193.751,18.35,4.8571,17.85,2026-08-20T09:00:00.000+08:00,18.2070,17.3145,STOP_FIRST,2026-08-20T09:02:00.000+08:00
2026-08-21,2426,鼎元,74.80,29241.7,80.00,6.9519,76.2,,77.724,73.914,NO_ENTRY,
2026-08-24,1709,和益,33.30,15257.404,34.25,2.8529,33.95,2026-08-24T09:06:00.000+08:00,34.6290,32.9315,TP_FIRST,2026-08-24T09:11:00.000+08:00
2026-08-24,2426,鼎元,82.20,28510.396,84.90,3.2847,83.8,2026-08-24T11:18:00.000+08:00,85.476,81.286,TP_FIRST,2026-08-24T12:03:00.000+08:00
2026-08-24,2489,瑞軒,35.65,35363.872,37.65,5.6101,36.35,,37.0770,35.2595,NO_ENTRY,
2026-08-24,2601,益航,7.39,12206.714,8.03,8.6604,7.53,2026-08-24T09:09:00.000+08:00,7.6806,7.3041,TP_FIRST,2026-08-24T09:26:00.000+08:00
2026-08-25,3049,精金,12.70,10131.116,13.00,2.3622,12.95,2026-08-25T09:00:00.000+08:00,13.2090,12.5615,STOP_FIRST,2026-08-25T09:01:00.000+08:00
2026-08-26,4939,亞電,71.70,31805,74.70,4.1841,73.1,,74.562,70.907,NO_ENTRY,
2026-08-26,5314,世紀*,31.45,5355,34.55,9.8569,32.05,,32.6910,31.0885,NO_ENTRY,
2026-08-26,6226,光鼎,25.60,74889.096,27.80,8.5938,26.10,,26.6220,25.3170,NO_ENTRY,
2026-08-27,1312,國喬,13.00,7416.765,14.30,10.0000,13.25,,13.5150,12.8525,NO_ENTRY,
2026-08-27,3543,州巧,45.10,6967.542,46.55,3.2151,46.00,,46.9200,44.6200,NO_ENTRY,
2026-08-27,4939,亞電,78.80,30887,82.10,4.1878,80.3,,81.906,77.891,NO_ENTRY,
2026-08-27,4989,榮科,66.90,7774.622,68.80,2.8401,68.2,2026-08-27T09:00:00.000+08:00,69.564,66.154,STOP_FIRST,2026-08-27T09:14:00.000+08:00
2026-08-27,6141,柏承,50.40,7151.867,53.50,6.1508,51.4,2026-08-27T09:03:00.000+08:00,52.428,49.858,TP_FIRST,2026-08-27T09:06:00.000+08:00
2026-08-27,6226,光鼎,28.15,7681.5,30.95,9.9467,28.70,,29.2740,27.8390,NO_ENTRY,
2026-08-28,1312,國喬,14.30,7796.983,15.70,9.7902,14.55,2026-08-28T09:57:00.000+08:00,14.8410,14.1135,STOP_FIRST,2026-08-28T10:50:00.000+08:00
2026-08-28,2491,吉祥全,51.30,5064.112,56.40,9.9415,52.3,,53.346,50.731,NO_ENTRY,
2026-08-28,4939,亞電,86.60,19807,91.80,6.0046,88.3,2026-08-28T09:04:00.000+08:00,90.066,85.651,STOP_FIRST,2026-08-28T09:05:00.000+08:00
2026-08-28,6226,光鼎,30.95,27141.227,33.90,9.5315,31.55,,32.1810,30.6035,NO_ENTRY,
2026-08-28,6269,台郡,72.90,16945.695,77.10,5.7613,74.3,2026-08-28T09:05:00.000+08:00,75.786,72.071,TP_FIRST,2026-08-28T09:10:00.000+08:00
2026-08-31,6226,光鼎,34.00,6185.486,35.25,3.6765,34.65,2026-08-31T09:00:00.000+08:00,35.3430,33.6105,TP_FIRST,2026-08-31T09:04:00.000+08:00
2026-09-01,8111,立碁,68.60,13392,72.80,6.1224,69.9,2026-09-01T09:04:00.000+08:00,71.298,67.803,TP_FIRST,2026-09-01T09:26:00.000+08:00
2026-09-02,3141,晶宏,90.50,10308,93.50,3.3149,92.3,2026-09-02T09:00:00.000+08:00,94.146,89.531,TP_FIRST,2026-09-02T09:01:00.000+08:00
2026-09-07,3094,聯傑,46.50,17920.641,49.00,5.3763,47.40,2026-09-07T09:05:00.000+08:00,48.3480,45.9780,STOP_FIRST,2026-09-07T09:09:00.000+08:00
2026-09-07,3624,光頡,93.20,9062,95.10,2.0386,95.0,2026-09-07T09:00:00.000+08:00,96.900,92.150,TP_FIRST,2026-09-07T09:01:00.000+08:00
2026-09-08,5314,世紀*,35.20,6644,37.65,6.9602,35.90,,36.6180,34.8230,NO_ENTRY,
2026-09-09,5314,世紀*,38.70,10137,42.55,9.9483,39.45,2026-09-09T09:10:00.000+08:00,40.2390,38.2665,TP_FIRST,2026-09-09T09:12:00.000+08:00
2026-09-10,3229,晟鈦,60.70,5363.549,62.50,2.9654,61.9,2026-09-10T09:00:00.000+08:00,63.138,60.043,TP_FIRST,2026-09-10T09:02:00.000+08:00
2026-09-10,5314,世紀*,42.55,49416,45.35,6.5805,43.40,,44.2680,42.0980,NO_ENTRY,
2026-09-10,6179,亞通,36.40,25818,38.65,6.1813,37.10,2026-09-10T09:53:00.000+08:00,37.8420,35.9870,TP_FIRST,2026-09-10T10:09:00.000+08:00
2026-09-15,6226,光鼎,33.00,33483.872,33.95,2.8788,33.65,2026-09-15T09:06:00.000+08:00,34.3230,32.6405,TP_FIRST,2026-09-15T09:16:00.000+08:00
2026-09-16,6226,光鼎,36.30,81114.487,39.85,9.7796,37.00,,37.7400,35.8900,NO_ENTRY,
2026-09-17,1709,和益,39.05,21302.413,40.80,4.4814,39.80,2026-09-17T09:16:00.000+08:00,40.5960,38.6060,TP_FIRST,2026-09-17T09:27:00.000+08:00
2026-09-17,2305,全友,49.40,25857.898,52.80,6.8826,50.3,,51.306,48.791,NO_ENTRY,
2026-09-17,2338,光罩,50.70,26655.259,52.90,4.3393,51.7,2026-09-17T09:13:00.000+08:00,52.734,50.149,STOP_FIRST,2026-09-17T09:50:00.000+08:00
2026-09-17,2413,環科,53.00,6868.994,54.20,2.2642,54.0,2026-09-17T09:00:00.000+08:00,55.080,52.380,TP_FIRST,2026-09-17T09:01:00.000+08:00
2026-09-17,4956,光鋐,35.25,7633.753,36.10,2.4113,35.95,2026-09-17T09:00:00.000+08:00,36.6690,34.8715,TP_FIRST,2026-09-17T09:01:00.000+08:00
2026-09-17,6218,豪勉,54.10,15166,56.00,3.5120,55.1,2026-09-17T09:01:00.000+08:00,56.202,53.447,TP_FIRST,2026-09-17T09:10:00.000+08:00
2026-09-17,6226,光鼎,39.90,6533.964,43.85,9.8997,40.65,,41.4630,39.4305,NO_ENTRY,
2026-09-18,2305,全友,54.30,7012.311,57.70,6.2615,55.3,2026-09-18T09:06:00.000+08:00,56.406,53.641,TP_FIRST,2026-09-18T09:42:00.000+08:00
2026-09-18,4956,光鋐,38.75,8496.611,40.25,3.8710,39.50,2026-09-18T09:02:00.000+08:00,40.2900,38.3150,TP_FIRST,2026-09-18T09:03:00.000+08:00
2026-09-18,4960,誠美材,22.00,7450.308,23.00,4.5455,22.40,2026-09-18T09:00:00.000+08:00,22.8480,21.7280,STOP_FIRST,2026-09-18T09:04:00.000+08:00
2026-09-18,6168,宏齊,35.35,29893.142,37.15,5.0919,36.05,2026-09-18T09:01:00.000+08:00,36.7710,34.9685,TP_FIRST,2026-09-18T09:05:00.000+08:00
