date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-21,1802,台玻,20260120,50.50,420681.801,52.60,4.1584,50-70
2026-01-21,1809,中釉,20260120,27.50,16334.051,29.80,8.3636,<30
2026-01-21,2426,鼎元,20260120,20.15,9136.172,20.15,0.0000,<30
2026-01-21,2457,飛宏,20260120,33.65,50969.937,34.00,1.0401,30-50
2026-01-21,2481,強茂,20260120,97.60,61508.43,97.20,-0.4098,70-100
2026-01-21,3016,嘉晶,20260120,66.00,15245.936,68.20,3.3333,50-70
2026-01-21,3049,精金,20260120,9.21,25459.457,9.61,4.3431,<30
2026-01-21,3317,尼克森,20260120,54.70,7462,54.60,-0.1828,50-70
2026-01-21,3543,州巧,20260120,50.30,15580.225,50.50,0.3976,50-70
2026-01-21,4939,亞電,20260120,43.20,24283,45.00,4.1667,30-50
2026-01-21,5302,太欣,20260120,13.50,5111,13.90,2.9630,<30
2026-01-21,5381,合正,20260120,33.45,14600,34.50,3.1390,30-50
2026-01-21,6217,中探針,20260120,63.80,46254,63.30,-0.7837,50-70
2026-01-21,6282,康舒,20260120,63.80,153670.963,65.00,1.8809,50-70
2026-01-21,6443,元晶,20260120,40.80,130367.768,42.30,3.6765,30-50
2026-01-21,6548,長科*,20260120,55.30,28307,54.60,-1.2658,50-70
2026-01-21,6770,力積電,20260120,68.20,195267.35,67.00,-1.7595,50-70
2026-01-21,7780,大研生醫*,20260120,22.35,8682.281,24.55,9.8434,<30
2026-01-21,8074,鉅橡,20260120,65.50,7261,72.00,9.9237,70-100
2026-01-21,8249,菱光,20260120,58.90,7577.073,62.10,5.4329,50-70
2026-01-21,8933,愛地雅,20260120,8.00,8215,8.79,9.8750,<30
