datetime,open,high,low,close,volume,average
2026-09-10T09:00:00.000+08:00,49.95,51.6,49.55,51.6,1372,50.15
2026-09-10T09:02:00.000+08:00,51.6,51.6,51,51.1,633,50.53
2026-09-10T09:03:00.000+08:00,51,51.4,50.8,51.4,518,50.64
2026-09-10T09:04:00.000+08:00,51.3,52.5,51.3,52.4,668,50.93
2026-09-10T09:05:00.000+08:00,52.4,53.2,52.2,52.8,954,51.36
2026-09-10T09:06:00.000+08:00,52.8,52.9,52,52.1,498,51.48
2026-09-10T09:07:00.000+08:00,52.1,52.6,51.8,52.1,401,51.54
2026-09-10T09:08:00.000+08:00,52.2,52.2,51.8,52,281,51.56
2026-09-10T09:09:00.000+08:00,52,52.1,51.8,51.8,181,51.58
2026-09-10T09:10:00.000+08:00,51.9,52,51.6,52,207,51.58
2026-09-10T09:11:00.000+08:00,52,52.5,52,52.2,289,51.62
2026-09-10T09:12:00.000+08:00,52.1,52.2,51.9,51.9,148,51.63
2026-09-10T09:13:00.000+08:00,52,52,51.6,51.8,152,51.63
2026-09-10T09:14:00.000+08:00,51.9,52.4,51.9,52.2,157,51.64
2026-09-10T09:15:00.000+08:00,52.1,52.2,51.6,51.6,214,51.65
2026-09-10T09:16:00.000+08:00,51.7,52,51.7,51.8,55,51.65
2026-09-10T09:17:00.000+08:00,51.9,51.9,51.7,51.8,106,51.66
2026-09-10T09:18:00.000+08:00,51.9,52.2,51.8,52,168,51.67
2026-09-10T09:19:00.000+08:00,52,52.2,51.7,51.8,194,51.67
2026-09-10T09:20:00.000+08:00,51.8,51.9,51.6,51.7,77,51.67
2026-09-10T09:21:00.000+08:00,51.7,51.7,51.3,51.6,319,51.67
2026-09-10T09:22:00.000+08:00,51.6,51.8,51.4,51.4,94,51.66
2026-09-10T09:23:00.000+08:00,51.4,51.5,51.3,51.4,157,51.66
2026-09-10T09:24:00.000+08:00,51.4,51.5,51.3,51.5,115,51.66
2026-09-10T09:25:00.000+08:00,51.4,51.6,51.4,51.5,40,51.65
2026-09-10T09:26:00.000+08:00,51.4,51.6,51.4,51.6,63,51.65
2026-09-10T09:27:00.000+08:00,51.6,52.2,51.5,52,273,51.66
2026-09-10T09:28:00.000+08:00,52,52,51.5,51.6,119,51.66
2026-09-10T09:29:00.000+08:00,51.5,51.6,51.5,51.5,37,51.66
2026-09-10T09:30:00.000+08:00,51.5,51.8,51.4,51.8,62,51.66
2026-09-10T09:31:00.000+08:00,51.8,52,51.7,52,91,51.66
2026-09-10T09:32:00.000+08:00,52,52.2,51.9,52,156,51.67
2026-09-10T09:33:00.000+08:00,52,52.1,52,52,61,51.67
2026-09-10T09:34:00.000+08:00,52,52,51.9,52,47,51.67
2026-09-10T09:35:00.000+08:00,52,52,51.7,51.7,33,51.67
2026-09-10T09:36:00.000+08:00,51.7,51.8,51.6,51.6,51,51.67
2026-09-10T09:37:00.000+08:00,51.6,51.7,51.5,51.5,82,51.67
2026-09-10T09:38:00.000+08:00,51.6,51.8,51.5,51.8,58,51.67
2026-09-10T09:39:00.000+08:00,51.8,51.8,51.7,51.8,24,51.67
2026-09-10T09:40:00.000+08:00,51.8,51.9,51.8,51.9,20,51.67
2026-09-10T09:41:00.000+08:00,51.9,52,51.9,52,45,51.67
2026-09-10T09:42:00.000+08:00,52,52.3,51.9,52.2,222,51.68
2026-09-10T09:43:00.000+08:00,52.2,52.3,52.1,52.1,70,51.69
2026-09-10T09:44:00.000+08:00,52,52.2,51.8,52.1,100,51.69
2026-09-10T09:45:00.000+08:00,52,52.2,52,52.2,35,51.69
2026-09-10T09:46:00.000+08:00,52.1,52.2,52,52,64,51.69
2026-09-10T09:47:00.000+08:00,51.9,52,51.9,52,14,51.69
2026-09-10T09:48:00.000+08:00,52,52,51.9,51.9,24,51.7
2026-09-10T09:49:00.000+08:00,51.8,51.9,51.8,51.9,9,51.7
2026-09-10T09:50:00.000+08:00,51.9,51.9,51.9,51.9,18,51.7
2026-09-10T09:51:00.000+08:00,51.9,51.9,51.9,51.9,17,51.7
2026-09-10T09:52:00.000+08:00,52,52.2,52,52.2,76,51.7
2026-09-10T09:53:00.000+08:00,52.2,52.2,52.1,52.2,77,51.7
2026-09-10T09:54:00.000+08:00,52.2,52.2,52,52.1,40,51.7
2026-09-10T09:55:00.000+08:00,52.1,52.1,52.1,52.1,13,51.7
2026-09-10T09:56:00.000+08:00,52.1,52.1,52.1,52.1,8,51.7
2026-09-10T09:57:00.000+08:00,52.1,52.1,52.1,52.1,13,51.71
2026-09-10T09:58:00.000+08:00,52.1,52.2,52,52.2,19,51.71
2026-09-10T09:59:00.000+08:00,52.2,52.2,52.1,52.1,15,51.71
2026-09-10T10:00:00.000+08:00,52.1,52.1,52,52,41,51.71
2026-09-10T10:01:00.000+08:00,51.9,51.9,51.6,51.6,213,51.71
2026-09-10T10:02:00.000+08:00,51.6,51.7,51.6,51.6,60,51.71
2026-09-10T10:03:00.000+08:00,51.6,51.8,51.6,51.7,60,51.71
2026-09-10T10:04:00.000+08:00,51.7,51.8,51.7,51.7,12,51.71
2026-09-10T10:05:00.000+08:00,51.7,51.8,51.7,51.8,11,51.71
2026-09-10T10:06:00.000+08:00,51.8,51.9,51.8,51.9,11,51.71
2026-09-10T10:07:00.000+08:00,51.9,51.9,51.9,51.9,2,51.71
2026-09-10T10:08:00.000+08:00,51.8,51.8,51.7,51.7,28,51.71
2026-09-10T10:09:00.000+08:00,51.8,51.8,51.7,51.7,21,51.71
2026-09-10T10:10:00.000+08:00,51.6,51.7,51.5,51.5,45,51.71
2026-09-10T10:11:00.000+08:00,51.5,51.6,51.5,51.6,21,51.71
2026-09-10T10:12:00.000+08:00,51.7,51.7,51.5,51.6,35,51.71
2026-09-10T10:13:00.000+08:00,51.6,51.6,51.6,51.6,9,51.71
2026-09-10T10:14:00.000+08:00,51.6,51.7,51.6,51.6,14,51.71
2026-09-10T10:15:00.000+08:00,51.6,51.6,51.5,51.5,18,51.71
2026-09-10T10:16:00.000+08:00,51.6,51.7,51.6,51.6,84,51.71
2026-09-10T10:17:00.000+08:00,51.6,51.6,51.5,51.5,77,51.71
2026-09-10T10:18:00.000+08:00,51.4,51.5,51.4,51.5,102,51.7
2026-09-10T10:19:00.000+08:00,51.4,51.4,51.3,51.3,31,51.7
2026-09-10T10:20:00.000+08:00,51.3,51.6,51.3,51.5,75,51.7
2026-09-10T10:21:00.000+08:00,51.6,51.6,51.6,51.6,3,51.7
2026-09-10T10:22:00.000+08:00,51.6,51.6,51.5,51.5,29,51.7
2026-09-10T10:23:00.000+08:00,51.6,51.6,51.6,51.6,6,51.7
2026-09-10T10:24:00.000+08:00,51.6,51.7,51.6,51.7,15,51.7
2026-09-10T10:25:00.000+08:00,51.7,51.7,51.6,51.6,29,51.7
2026-09-10T10:26:00.000+08:00,51.6,51.6,51.6,51.6,9,51.7
2026-09-10T10:27:00.000+08:00,51.5,51.6,51.5,51.5,17,51.7
2026-09-10T10:28:00.000+08:00,51.5,51.5,51.5,51.5,15,51.7
2026-09-10T10:29:00.000+08:00,51.4,51.5,51.4,51.5,10,51.7
2026-09-10T10:30:00.000+08:00,51.4,51.5,51.4,51.5,11,51.7
2026-09-10T10:31:00.000+08:00,51.4,51.5,51.4,51.4,13,51.7
2026-09-10T10:32:00.000+08:00,51.4,51.5,51.4,51.5,8,51.7
2026-09-10T10:33:00.000+08:00,51.6,51.9,51.6,51.8,69,51.7
2026-09-10T10:34:00.000+08:00,51.7,51.8,51.7,51.8,18,51.7
2026-09-10T10:35:00.000+08:00,51.8,51.8,51.8,51.8,24,51.7
